,Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020,REF,REG,uba30,uba50,veigl30,veigl50
2021-01-01 00:00:00,0.6230759485305849,0.029658330634503204,0.08964970748955824,0.30196721274582045,0.0,0.0,0.034815091660672405,0.313970529896517,0.08133648329395883,0.636424957841484,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 01:00:00,0.6258530741923812,0.03170987071044077,0.059535542191484825,0.29967213122650344,0.0,0.0,0.03229768636856211,0.28572282330749205,0.06209922375970302,0.6627318718381113,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,0.6286220215287115,0.029127822557486693,0.04281166306297151,0.29442622911318783,0.0,0.0,0.027025859559435296,0.3180347677291342,0.04556193047586905,0.6681281618887016,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,0.6483937075087616,0.029456234509125066,0.021632372868952695,0.39639344209864574,0.0,0.0,0.027519424249652088,0.23734867300041598,0.037462031724603446,0.6232715008431704,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,0.6273049460248774,0.02903286726763326,0.01512504308837035,0.48622950871238374,0.0,0.0,0.02587383299558835,0.15552398717771262,0.05366182922713467,0.5750421585160204,1.0,1.0,1.0,1.0,1.0,0.0
2021-01-01 05:00:00,0.6278841467176984,0.02884212899048456,0.013082306095466765,0.5085245905222611,0.0,0.0,0.02897157119971153,0.11011292144614465,0.0948363145460682,0.49915682967959546,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-01 06:00:00,0.6237141499999816,0.03812728487603185,0.012367269671692615,0.5636065570206867,0.0,0.0,0.02733311672579552,0.11089705522218325,0.15052311846101926,0.385160202360877,1.0,1.0,1.0,1.0,1.0,0.0
2021-01-01 07:00:00,0.5511908043492627,0.05991448873795776,0.013016660705740915,0.5777049173214369,0.011754260353958969,0.0,0.02422861736153238,0.11370248872313964,0.1984475194060075,0.2967959527824621,1.0,1.0,1.0,0.0,1.0,0.0
2021-01-01 08:00:00,0.4846769214592323,0.049876128180352704,0.012397679221625392,0.5465573774738984,0.12929815628061342,0.0,0.02046114868354578,0.10427536662461494,0.2136348295646305,0.23946037099494105,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,0.42893308997947016,0.06680461010921146,0.016467065574564906,0.6095081965432039,0.35465362734277467,0.0,0.022628476128409458,0.09449722187207732,0.22780965237934533,0.19460370994940984,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,0.32961134333742126,0.06662642524326373,0.01928612894865554,0.566229507478251,0.5925885478997418,0.0,0.022323848302103662,0.11541020363092065,0.30475869051636856,0.19392917369308607,0.0,0.0,0.0,1.0,0.0,1.0
2021-01-01 11:00:00,0.23874445179114454,0.07213024536584847,0.01792331025411986,0.507540983557746,0.4029624096298345,0.0,0.018714515647390476,0.17957281710792367,0.3216334795815053,0.23440134907251273,0.0,1.0,1.0,1.0,0.0,1.0
2021-01-01 12:00:00,0.17235324378310352,0.08539147582914247,0.019277810465319088,0.6062295082091451,0.2968819869675688,0.0,0.01586205730834459,0.2682273321625709,0.37057036787040165,0.2822934232715009,0.0,1.0,1.0,1.0,1.0,1.0
2021-01-01 13:00:00,0.11932395917117052,0.11175258173776641,0.019280439419958436,0.554754097635065,0.32699072841519744,0.0,0.018066195513970252,0.34136266169968466,0.5504556193047587,0.23237774030354139,1.0,1.0,1.0,0.0,1.0,1.0
2021-01-01 14:00:00,0.05644212903718108,0.13700402127605474,0.022337599760490462,0.501967212506183,0.36375978660104785,0.0,0.015981128850809368,0.30392722908830627,0.6101923725953426,0.16087689713322095,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-01 15:00:00,0.05191119068751604,0.1498049599953134,0.023513056389311303,0.3960655731603984,0.4615320990175273,0.0,0.02005284973509399,0.2537344242283942,0.695916301046237,0.10286677908937608,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,0.06006322867875866,0.15867534749612558,0.020380872746235446,0.38459016331721246,0.6304580736712322,0.0,0.02237568386317666,0.1699554146274781,0.7451906851164362,0.0630691399662732,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,0.05657137578784839,0.14201563731990283,0.01786013686651758,0.5711475406533194,0.7150331755759523,0.0,0.020896116652549618,0.0799088302805468,0.7468781640229498,0.04249578414839798,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,0.06552956300359225,0.0937498404958055,0.017020244716438798,0.7760655735887504,0.6163587769882728,0.0,0.015859427968290162,0.06761891579337474,0.7691528855889304,0.033726812816188875,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,0.058309269949363744,0.10155479745622827,0.02261697523858254,0.8163934419099312,0.4983334668799967,0.0,0.013523071519927583,0.07583978391842261,0.8002024974687818,0.037099494097807766,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 20:00:00,0.06569495503198856,0.11486725319453275,0.04305560651062579,0.7383606555753603,0.47535547106216125,0.0,0.013509173579639896,0.07368521923288154,0.903813702328721,0.03541315345699832,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 21:00:00,0.07091206949239981,0.0630956059060259,0.04016924974539359,0.8288524587176324,0.09326640491520648,0.0,0.012736523223646035,0.06392562166558532,0.84441444481944,0.020910623946037103,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 22:00:00,0.0672405855242909,0.041749288881443705,0.019245635199583767,0.892786884751453,0.06847519004551787,0.0,0.016248570296345407,0.05130494904160856,0.8923388457644281,0.020910623946037103,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 23:00:00,0.059598816625513376,0.04698571674712883,0.007565621356371871,0.765245901622059,0.0800795334999651,0.0,0.016095692953180845,0.0463198778083959,0.9129260884238949,0.019561551433389546,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,0.052923988671558814,0.04829140946160259,0.005444996677511432,0.8203278682702579,0.06100583900475856,0.0,0.0180913620544912,0.08003213471576268,0.8896388795140062,0.007082630691399664,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02 01:00:00,0.03792187289494831,0.0358984795979708,0.011346097365885549,0.7236065573981156,0.024719487387594635,0.0,0.02106101383596299,0.11555583338170486,0.8717516031049614,0.00033726812816188865,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02 02:00:00,0.026865214989556203,0.05771143404697561,0.019582494536581025,0.6311475404765867,0.008413439791563813,0.0,0.019408285801751517,0.17291609493823273,0.8403644954438072,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2021-01-02 03:00:00,0.019399061026007438,0.08919221649879659,0.03954940502244127,0.4714754090374051,0.004472951631121714,0.0,0.023112274698424088,0.19614197938995562,0.8123523455956803,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2021-01-02 04:00:00,0.016159275809279987,0.10289244848859459,0.05780188394028507,0.4016393443617348,0.0043294966669337595,0.0,0.027671174732793322,0.15485182344590903,0.8636517043536958,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2021-01-02 05:00:00,0.01339617013399675,0.1086309208359358,0.06204599768141897,0.24655737715937423,0.01903556907679622,0.0,0.02869135867391113,0.165959183140746,0.9746878164022952,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,0.008707872039875178,0.09662631902209204,0.05721970782112045,0.0960655741938349,0.06500706935724422,0.0,0.03888343196488705,0.2332274197465012,0.9649004387445159,0.0010118043844856664,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 07:00:00,0.009933525548322037,0.11103248496338153,0.06219804543108285,0.03836065588988451,0.005449996252077512,0.0,0.04146844885839689,0.38223447557662005,0.9301383732703343,0.0006745362563237777,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 08:00:00,0.014806201069243035,0.13846352776513368,0.08117105411075315,0.049508196794823205,0.09000248138316433,0.0,0.04160893074130487,0.551516352606721,0.9176510293621332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 09:00:00,0.01554918733367239,0.16941435393823273,0.11420002381754428,0.16229508174697257,0.059950604966385004,0.0,0.04173250972386296,0.6586534812208032,0.9628754640566994,0.0026981450252951105,0.0,1.0,1.0,0.0,1.0,0.0
2021-01-02 10:00:00,0.026439138836932583,0.18936278194996048,0.159712251105191,0.20459016399718374,0.12422747563204188,0.0,0.039231256092087004,0.6994449239616926,0.9777252784340198,0.0026981450252951105,0.0,1.0,1.0,1.0,1.0,1.0
2021-01-02 11:00:00,0.040803418247961715,0.18675866186522447,0.17578721005720332,0.14819672144622237,0.32494423349815577,0.0,0.04095535192777579,0.7439653813352806,0.9578130273371585,0.0026981450252951105,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02 12:00:00,0.06335025832920461,0.19440566656383296,0.2086420017096053,0.15147540978028112,0.3412987456091149,0.0,0.038321504433255146,0.7830580392946163,0.9314883563955453,0.0010118043844856664,1.0,1.0,1.0,0.0,1.0,1.0
2021-01-02 13:00:00,0.09556716504554486,0.21958661386999276,0.23554758672754597,0.19704918036455107,0.5903947208573179,0.0,0.044900488869440126,0.7402652178796241,0.9892001349983127,0.007082630691399664,0.0,1.0,1.0,1.0,1.0,1.0
2021-01-02 14:00:00,0.13084020975944405,0.23872702524573766,0.23731612767537832,0.3045901645513453,0.9173331075963925,0.0,0.0637126657188522,0.7080422312538619,1.0,0.024620573355817882,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 15:00:00,0.16425144407686604,0.26559555566938947,0.2557762155334728,0.500327869013134,0.7304642771291431,0.0,0.11703380392259978,0.6994057687928495,0.9814377320283498,0.07858347386172009,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 16:00:00,0.2317366491575047,0.2537715758306277,0.25383883291678794,0.5770491807929029,0.6585739542650065,0.0,0.2403329495748921,0.6226636986590729,0.9473506581167738,0.12209106239460374,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 17:00:00,0.29277762585402345,0.48156848849157985,0.26150015606965793,0.7403278681564301,0.8581611658365232,0.0,0.37132103678634554,0.569566541976917,0.8943638204522445,0.2738617200674537,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 18:00:00,0.3883828347171376,0.6885887239006879,0.2906332111915776,0.8442622949211449,0.7262582034268935,0.03543307086614174,0.47781268957072276,0.5945853210019739,0.8903138710766118,0.3392917369308601,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,0.4315570911010691,0.742059266171725,0.28463173936936087,0.9573770488115416,0.43191898800923284,0.07874015748031497,0.6196464288866812,0.5763372949892032,0.8994262571717856,0.27318718381112994,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 20:00:00,0.43173467759690126,0.7822608528033447,0.31841368877061643,0.9590163936525511,0.3949735189890431,0.11811023622047247,0.6271099984411771,0.5916795953141568,0.9237259534255824,0.2080944350758854,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02 21:00:00,0.462433701710913,0.7521906047419614,0.321102481556608,0.9436065574490385,0.31474213000896917,0.13385826771653545,0.5851712733330454,0.6367406687908919,0.9274384070199124,0.1770657672849916,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 22:00:00,0.42206636346011805,0.6948486456363768,0.3407913114226313,0.9445901630655931,0.17843988203090871,0.10236220472440948,0.531418547740364,0.6804103599081297,0.8876139048261898,0.16020236087689718,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 23:00:00,0.396326763533577,0.6464435197429061,0.3467304730960826,0.8859016391450882,0.14138262152961764,0.10629921259842523,0.47288267696867153,0.6005712533054348,0.8839014512318598,0.1777403035413154,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03 00:00:00,0.3218756697373114,0.6307887722106286,0.32892472027628356,0.8455737708239074,0.4579082456879506,0.11023622047244096,0.479216757159787,0.3641495961006948,0.8693891326358423,0.1446880269814503,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03 01:00:00,0.2686762467473814,0.6205725946526055,0.309189903323136,0.8016393437326865,0.3970923875817111,0.11811023622047247,0.5090143167565965,0.20167007099106887,0.9017887276409047,0.12209106239460374,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03 02:00:00,0.22012269678821825,0.5992213114433723,0.2664600517590159,0.757377049051179,0.455070809887278,0.12598425196850396,0.5736784279551436,0.09466758120318337,0.9200134998312524,0.09376053962900509,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03 03:00:00,0.20907706501805257,0.5701624636727042,0.2660528776949483,0.674754098479787,0.627904963024806,0.1299212598425197,0.673298112697271,0.08565055797832934,0.9449881876476546,0.07892074198988197,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03 04:00:00,0.21483526333295241,0.526471672491894,0.24115236106612353,0.6508196718288999,0.9164168051674804,0.10629921259842523,0.6486529327471159,0.13635478429795297,0.9338508268646644,0.06779089376053964,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03 05:00:00,0.20501068476315895,0.6539651282790786,0.1829055952198542,0.6908196712118335,0.738852515372944,0.1535433070866142,0.5752556563677922,0.26806281176015195,0.930475869051637,0.051602023608768983,1.0,1.0,1.0,0.0,1.0,0.0
2021-01-03 06:00:00,0.1944193881809323,0.6277906681435854,0.19138436631304617,0.6970491802896643,0.5021854265265029,0.12598425196850396,0.5160549381823374,0.4814859592655727,0.9449881876476546,0.031365935919055656,1.0,1.0,1.0,0.0,1.0,0.0
2021-01-03 07:00:00,0.1912477313361668,0.6080782718523506,0.18281821190669253,0.6799999993949154,0.6131019615850868,0.08661417322834648,0.5401919042619726,0.6742131957727531,0.9453256834289573,0.03440134907251265,1.0,1.0,1.0,0.0,1.0,0.0
2021-01-03 08:00:00,0.19039506788557792,0.595714173449609,0.1656282622825644,0.7557377042101693,0.6223476986463538,0.059055118110236234,0.539813279294135,0.717999665463733,0.9507256159298011,0.024620573355817882,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-03 09:00:00,0.18870938356967112,0.4864205428619212,0.14181189515650425,0.8967213111117797,0.40652745934796486,0.019685039370078743,0.526165501931626,0.7556971629332443,0.9716503543705706,0.016863406408094438,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 10:00:00,0.2127773921875816,0.41503655870625744,0.12289538938251547,0.9190163929216569,0.5713688446835072,0.003937007874015749,0.5814627769962796,0.7763535752962484,0.9861626729665881,0.007082630691399664,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 11:00:00,0.24551077476124947,0.32980041409703015,0.09741956330709153,0.8659016388545278,0.7889867943889722,0.011811023622047247,0.6046272628757845,0.7896045087520389,0.9463381707728655,0.0077571669477234425,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 12:00:00,0.29194226832428666,0.23087870613600164,0.11241390418794436,0.9557377039705319,0.8396632297786658,0.0,0.6341190677862648,0.7939689362124518,0.8083023962200474,0.009780775716694775,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 13:00:00,0.3436871907342493,0.13447761278446757,0.11052706028134132,0.9609836060838475,0.580747697612444,0.0,0.7136746341930651,0.723658617760716,0.6459669254134324,0.010118043844856664,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 14:00:00,0.4045439360454948,0.1280200552929481,0.12125397997246662,0.9609836060838475,0.16123239445721035,0.0,0.734312699900273,0.5954264701993102,0.7688153898076276,0.01618887015177066,1.0,0.0,0.0,0.0,1.0,0.0
