Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
0.8533498,0.065328,0.2289675,2.01616057,0,0,92.799,914.63,245,1891
0.857153,0.0697895,0.1522203,2.000836877,0,0,86.097,832.387,188,1969
0.860945,0.0641743,0.1095988,1.965811283,0,0,72.062,926.463,139,1985
0.8880218,0.0648885,0.0556225,2.646621204,0,0,73.376,691.546,115,1852
0.8591413,0.0639678,0.0390383,3.246434454,0,0,68.995,453.314,163,1709
0.8599345,0.063553,0.0338323,3.395293214,0,0,77.242,321.1,285,1484
0.8542238,0.0837455,0.03201,3.763061913,0,0,72.88,323.383,450,1146
0.754905,0.1311263,0.033665,3.857193186,0.05457,0,64.615,331.551,592,884
0.663816,0.1092958,0.0320875,3.649228748,0.600276,0,54.585,304.104,637,714
0.5874763,0.1461103,0.0424585,4.069535834,1.646505,0,60.355,275.635,679,581
0.4514578,0.1457228,0.049643,3.780574706,2.751135,0,59.544,336.523,907,579
0.327018,0.157692,0.0461698,3.388725913,1.870782,0,49.935,523.332,957,699
0.236097,0.1865313,0.0496218,4.047644841,1.378296,0,42.341,781.449,1102,841
0.1634748,0.243859,0.0496285,3.703956226,1.518078,0,48.209,994.382,1635,693
0.0773598,0.2987735,0.0574198,3.351511219,1.688781,0,42.658,885.389,1812,481
0.0711548,0.3266118,0.0604155,2.644432104,2.142696,0,53.498,739.253,2066,309
0.0823188,0.3459023,0.052433,2.567813624,2.926947,0,59.682,495.331,2212,191
0.0775368,0.3096723,0.0460088,3.8134112,3.319593,0,55.743,233.161,2217,130
0.0898048,0.2047083,0.0438683,5.181598343,2.86149,0,42.334,197.379,2283,104
0.0799168,0.2216818,0.0581318,5.450857569,2.313549,0,36.114,221.314,2375,114
0.0900313,0.2506325,0.1102205,4.929851909,2.206872,0,36.077,215.041,2682,109
0.097176,0.1380443,0.1028645,5.53404335,0.432996,0,34.02,186.626,2506,66
0.092148,0.0916223,0.0495398,5.960917737,0.317901,0,43.37,149.881,2648,66
0.0816828,0.10301,0.0197728,5.109358063,0.371775,0,42.963,135.367,2709,62
0.0725418,0.1058495,0.0143683,5.477126763,0.283224,0,48.276,233.52,2640,25
0.0519968,0.0788985,0.0294075,4.831342436,0.114762,0,56.182,336.947,2587,5
0.036855,0.1263353,0.0503983,4.214016394,0.03906,0,51.782,503.951,2494,4
0.0266303,0.1947968,0.1012848,3.147924971,0.020766,0,61.643,571.573,2411,4
0.0221935,0.2245908,0.147802,2.681646799,0.0201,0,73.78,451.357,2563,4
0.0184095,0.2370703,0.1586183,1.64620277,0.088374,0,76.496,483.696,2892,4
0.011989,0.2109638,0.1463183,0.641406135,0.3018,0,103.63,679.547,2863,7
0.0136675,0.242293,0.1590058,0.256124634,0.025302,0,110.512,1113.38,2760,6
0.0203405,0.3019475,0.2073593,0.330554014,0.417843,0,110.886,1606.243,2723,4
0.021358,0.3692565,0.291535,1.083604215,0.278325,0,111.215,1918.172,2857,12
0.0362715,0.4126385,0.4075248,1.365998043,0.576735,0,104.556,2036.936,2901,12
0.055943,0.4069753,0.4484925,0.989472942,1.508577,0,109.146,2166.557,2842,12
0.0868203,0.4236053,0.5322243,1.011363935,1.584504,0,102.134,2280.375,2764,7
0.1309405,0.4783665,0.6007943,1.315648756,2.74095,0,119.649,2155.784,2935,25
0.179246,0.5199913,0.6053015,2.033673372,4.258785,0,169.732,2061.967,2967,77
0.2250018,0.5784225,0.6523478,3.340565727,3.391233,0,311.687,2036.822,2912,237
0.317421,0.5527088,0.6474103,3.852814995,3.057477,0,639.942,1813.388,2811,366
0.401015,1.0481005,0.6669355,4.942986502,3.984075,0,988.667,1658.796,2654,816
0.5319438,1.498309,0.7411823,5.636931024,3.371706,0.9,1272.176,1731.638,2642,1010
0.5910698,1.6145918,0.7258873,6.392170325,2.005215,2,1649.775,1678.509,2669,814
0.591313,1.7020185,0.811982,6.403115826,1.833693,3,1669.645,1723.178,2741,621
0.6333545,1.6366245,0.8188345,6.300228152,1.461213,3.4,1557.993,1854.373,2752,529
0.5780725,1.5119225,0.8690123,6.306795444,0.82842,2.6,1414.889,1981.517,2634,479
0.5428228,1.4066555,0.8841485,5.914946651,0.656379,2.7,1259.051,1749.066,2623,531
0.440864,1.372611,0.8387698,5.645687425,2.125872,2.8,1275.914,1060.726,2580,433
0.3680088,1.3503938,0.7884748,5.352348096,1.84353,3,1355.243,587.668,2676,366
0.301516,1.303961,0.679576,5.056819676,2.112699,3.2,1527.396,276.131,2730,282
0.2863893,1.2407665,0.6785383,4.505166622,2.915094,3.3,1792.61,249.878,2804,238
0.294275,1.1457518,0.6150783,4.345362361,4.254531,2.7,1726.998,397.503,2771,205
0.2808205,1.4230128,0.466634,4.612432487,3.430176,3.9,1531.595,780.97,2761,157
0.266316,1.366091,0.4882425,4.654025382,2.331432,3.2,1373.987,1402.35,2804,97
0.2619725,1.3232223,0.4664113,4.540192208,2.84637,2.2,1438.246,1963.474,2805,106
0.2608048,1.296334,0.422602,5.045874175,2.889294,1.5,1437.238,2090.958,2821,77
0.2584963,1.0586523,0.361905,5.987186931,1.887333,0.5,1400.904,2200.714,2883,54
0.2914568,0.903413,0.3136955,6.136045691,2.652621,0.1,1548.12,2260.855,2926,25
0.3362843,0.7180493,0.2487693,5.781411584,3.662928,0.3,1609.79,2299.435,2808,27
0.399871,0.5029235,0.286983,6.381224824,3.898197,0,1688.305,2312.142,2399,33
0.4707343,0.2932793,0.2821743,6.416250418,2.696163,0,1900.103,2107.434,1918,34
0.554076,0.279236,0.3095123,6.416250418,0.748533,0,1955.047,1734.087,2282,52
0.4980225,0.3564808,0.3123435,6.346199239,0.916401,0,1993.196,1629.442,2425,42
0.5078065,0.346026,0.3309655,6.532272684,0.664944,0,1888.805,1984.65,2087,19
0.6128453,0.3008365,0.3294418,6.490679798,0.631887,0,1666.171,1932.554,2237,46
0.727973,0.1140698,0.4229825,6.267391658,0.378198,0,1574.821,2007.982,2387,63
0.7030353,0.0828825,0.6728113,5.590959938,0.086988,0,1504.316,1811.238,2425,59
0.742507,0.0686525,0.9482943,4.027942948,0,0,1478.096,1780.938,2515,78
0.8988493,0.0666025,1.1999063,4.301580375,0,0,1351.13,1792.265,2560,95
0.9841335,0.0539185,1.3684873,3.865949587,0,0,1347.899,1935.076,2420,136
0.9553203,0.0611625,1.4181448,3.154492272,0,0,1223.744,1976.35,2335,175
0.8408198,0.0573323,1.4326955,2.926825932,0,0,1217.678,1974.611,2281,195
0.9519843,0.1434215,1.5130378,2.756076179,0.138705,0,1194.059,2135.711,2276,312
1.0060098,0.5685138,1.616501,2.213179516,0.619293,0.3,1254.523,2093.448,2239,578
1.0583038,1.080774,1.70603,2.099346351,2.403051,3.6,1419.209,2156.777,2286,623
1.022057,1.4241613,1.7853793,2.329201791,3.208098,5.7,1879.572,1765.252,2276,649
0.975303,1.639042,1.8423483,2.276663404,4.025442,7,2061.438,1665.598,2344,674
1.0283238,1.6717838,1.7599858,2.182532132,4.401297,7.2,2098.237,1706.118,2404,716
1.008947,1.6665648,1.7325105,1.965811283,4.483302,6.8,2022.357,1509.568,2343,833
1.0491688,1.731863,1.6092883,1.71625395,4.439901,6.9,2030.584,1453.608,2444,1015
1.0650985,1.8493678,1.4970873,2.040240663,4.580472,7.6,2219.432,1478.682,2251,1200
1.069857,1.9208213,1.5254715,2.357660085,4.431765,8.4,2364.857,931.708,2029,1174
1.0434545,1.9448253,1.4290003,1.974567684,4.580628,8.7,2315.122,860.604,1833,959
1.0726255,1.913552,1.3327095,1.823519824,4.560714,9.1,2225.137,926.906,1655,906
1.0767745,1.909645,1.246362,2.024916971,4.517622,9.2,2369.613,700.17,1436,1386
1.0824663,1.8855408,1.107311,2.346714584,4.288281,8.8,2429.446,450.059,1233,1608
1.0269833,1.8391168,0.9604978,2.24163781,4.303254,8,2464.817,447.717,920,1748
1.0365143,1.8247468,0.7895873,2.799858165,4.292418,7,2455.816,451.058,619,2113
0.9958983,1.8126808,0.553839,2.583137325,3.111537,6.6,2433.208,693.492,736,2459
0.912834,1.8020705,0.3862265,2.136561036,3.346479,6.7,2442.576,873.386,973,2825
0.8457188,1.7769998,0.2931425,2.110291843,2.269755,6.8,2432.021,784.587,1237,2949
0.908252,1.67359,0.2569228,2.432089465,2.878587,6.3,2423.817,607.463,1331,2969
1.061577,1.5607495,0.2352498,3.224543452,3.183288,6,2356.558,709.769,1582,2951
1.0766505,1.405997,0.216741,3.712712627,1.787847,4.8,2293.311,844.229,1846,2943
1.0715738,1.4213345,0.2229083,3.863760487,2.192394,5.2,2262.965,864.611,2031,2928
1.0542328,1.472515,0.2100205,4.141776114,3.142503,5.7,2176.727,896.736,2209,2841
1.0331758,1.566151,0.1792685,3.975404561,3.018321,6.5,1860.07,786.64,2275,2820
1.0219475,1.5748605,0.1601105,4.435115434,3.188118,6.6,1804.778,522.116,2302,2909
0.9839063,1.5486018,0.1688963,4.864178921,3.757374,6.7,1390.911,363.243,2295,2936
0.9726765,1.460092,0.1583315,4.724076562,3.674766,6,1206.665,443.191,2375,2938
0.9975328,1.3697543,0.1651695,4.645268982,2.634678,5,1508.036,490.655,2273,2932
0.981306,1.3008615,0.1803385,4.625567089,2.382342,3.9,1583.973,625.452,2173,2902
0.98458,1.235269,0.2062115,4.531435816,1.96503,2.7,1599.213,592.487,2242,2896
0.9274165,1.1478188,0.1778355,5.203489336,3.31887,2.1,1802.721,459.613,2479,2829
0.8988885,1.363207,0.1905118,5.855840964,3.07932,4.2,2001.968,377.09,2554,2734
0.90327,1.4205735,0.2057583,6.267391658,3.258684,4.5,2188.285,337.716,2628,2746
0.9976955,1.6509383,0.2693285,6.442519612,3.651171,6.1,2290.672,240.131,2699,2794
1.0203088,1.5799298,0.2153838,6.481923398,3.478929,6,2297.77,210.956,2801,2773
1.0412678,1.5987725,0.145508,6.615458465,3.772569,6.1,2318.406,306.212,2840,2722
1.0347295,1.845934,0.0929635,6.619836666,3.709158,7.1,2308.675,511.11,2886,2443
1.0215315,1.8320953,0.0673173,6.190773178,3.598152,6.1,2247.062,702.686,2869,1987
1.0102235,1.788212,0.0567188,6.227987873,3.847671,6.1,2119.817,720.588,2895,1781
0.952683,1.8129285,0.0664853,5.582203537,3.572079,5.9,2156.829,585.492,2853,1848
0.9432855,1.7847648,0.085775,4.86198983,2.861451,5.9,2194.547,691.636,2800,1704
0.9104135,1.7049238,0.117982,4.505166622,2.609589,5.9,2166.071,705.832,2645,1283
0.8351233,1.4986433,0.114132,4.340984161,2.134197,4.8,2161.136,558.729,2366,950
0.829703,1.3382485,0.114616,4.362875154,2.474328,3.8,2093.363,458.655,1565,818
0.8290623,1.262587,0.1192483,4.391333448,2.814858,2.9,2096.964,357.997,1325,897
0.710189,1.164172,0.1134175,4.439493634,2.476032,2.7,2200.348,357.884,1610,1008
0.6485798,1.112319,0.088119,4.483275629,2.605416,2.8,2269.106,298.607,1831,845
0.633598,0.959834,0.06883,5.032739583,1.848525,2.3,2301.037,209.409,1920,548
0.6415563,0.866254,0.0636765,5.726684096,1.342833,2.2,2266.175,208.396,1938,365
0.7236235,0.7908748,0.0582445,5.671956618,1.177581,1.9,2278.613,219.824,1871,245
