Icon	Name	Einheit	Kommentar	Type	var_name	REF	ka	STAGE	Default Var	Neues Projekt	Test_PG2	Test_AB	Test_RU	TESTWuerfel	Alliiertenviertel Bestand	Pgteilgeühlt	Beispielquartier ohne Kühlung	Test	Spalte2	Spalte3	Spalte4	Kurze ID	Kurze ID_2	Kurze ID_2_2	Kurze ID_2_2_2_2	test_2
🏙️	Wohnbau NGF (m²)	m²NGF		Abgelöst in Klimaaktiv		Gebäude	0	7 809,0	100	7 809,0	14029,0	4280,5	7809,0	100	130784,00	14028,96	14028,96	7 809,0				7809,03	7809,03	7809,03	7809,03	7809,03
🏙️	Büro NGF (m²)	m²NGF		Abgelöst in Klimaaktiv		Gebäude	0	0,0	0	0,0	10082,6	0,0	0,0	0	13609,60	10082,64	10082,64	0,0				0	0	0	0	0
🏙️	Schule NGF (m²)	m²NGF		Abgelöst in Klimaaktiv		Gebäude	0	0,0	0	0,0	0,0	0,0	0,0	0		0,00	0,00	0,0				0	0	0	0	0
🏙️	Kiga NGF (m²)	m²NGF		Abgelöst in Klimaaktiv		Gebäude	0	0,0	0	0,0	618,3	0,0	0,0	0		618,32	618,32	0,0				0	0	0	0	0
🏙️	Handel NGF (m²)	m²NGF		Abgelöst in Klimaaktiv		Gebäude	0	0,0	0	0,0	2074,9	0,0	0,0	0		2074,88	2074,88	0,0				0	0	0	0	0
🏙️	Summe NGF (m²)	m²NGF		Abgelöst in Klimaaktiv		Gebäude	0	7 809,0	100	7 809,0	26804,8	4280,5	7809,0	100	144393,60	26804,80	26804,80	7 809,0				7809,03	7809,03	7809,03	7809,03	7809,03
🏙️	Anteil NonFood an Handel			Abgelöst in Klimaaktiv		Gebäude	0	0,0	0	0,0	1,0	0,0	0,0	0	0,00	1,00	1,00	0,0				0	0	0	0	0
🏙️	Bauteilfläche Hülle Außenwand (exkl. Fenster) (m²)			Abgelöst in Klimaaktiv		Gebäude	0	3 795,4	2400	3 795,4	6082,0	2220,1	3795,4	2400	112841,87	6081,98	6081,98	3 795,4				3795,39	3795,39	3795,39	3795,39	3795,39
🏙️	Bauteilfläche Hülle Fenster (m²)			Abgelöst in Klimaaktiv		Gebäude	0	1 409,4	1600	1 409,4	4163,6	881,2	1409,4	1600	30765,38	4163,61	4163,61	1 409,4				1409,35	1409,35	1409,35	1409,35	1409,35
🏙️	Bauteilfläche Hülle Dach (m²)			Abgelöst in Klimaaktiv		Gebäude	0	2 176,5	1000	2 176,5	6813,5	1830,1	2176,5	1000	33823,93	6813,49	6813,49	2 176,5				2176,5	2176,5	2176,5	2176,5	2176,5
🏙️	Bauteilfläche Hülle Decke gegen Erdreich / Keller (m²)			Abgelöst in Klimaaktiv		Gebäude	0	2 296,8	1000	2 296,8	3660,1	1710,3	2296,8	1000	33823,93	3660,14	3660,14	2 296,8				2296,84	2296,84	2296,84	2296,84	2296,84
🏗️	Gewählte Variante			Obsolet		eco2soft	0	Sanierung 2		Sanierung 2	Massgrob	Aktuell	Sanierung 2			Massgrob	0,00	Sanierung 2				Sanierung 2	Sanierung 2	Sanierung 2	Sanierung 2	Sanierung 2
🏗️	U-Wert Außenwand (exkl. Fenster) (W/m²K)			Abgelöst in Klimaaktiv		eco2soft	0	0,2	0,15	0,2	0,2	0,1	0,2	0,15	0,93	0,17	0,17	0,2				0,181789625	0,181789625	0,181789625	0,181789625	0,181789625
🏗️	U-Wert Fenster (W/m²K)			Abgelöst in Klimaaktiv		eco2soft	0	0,9	0,6	0,9	0,8	0,7	0,9	0,6	1,95	0,76	0,76	0,9				0,85	0,85	0,85	0,85	0,85
🏗️	U-Wert Dach (W/m²K)			Abgelöst in Klimaaktiv		eco2soft	0	0,1	0,12	0,1	0,1	0,1	0,1	0,12	0,65	0,11	0,11	0,1				0,139290576	0,139290576	0,139290576	0,139290576	0,139290576
🏗️	U-Wert Decke gegen Erdreich / Keller (W/m²K)			Abgelöst in Klimaaktiv		eco2soft	0	0,2	0,12	0,2	0,2	0,1	0,2	0,12	0,92	0,20	0,20	0,2				0,2	0,2	0,2	0,2	0,2
🏗️	g-Wert Fenster			Abgelöst in Klimaaktiv		eco2soft	0	0,6	0,5	0,6	0,4	0,5	0,6	0,5	0,72	0,39	0,39	0,6				0,55	0,55	0,55	0,55	0,55
🏗️	Speicherkapazität spezifisch Wirksame Wärmekapazität (Wh/m²K)			Abgelöst in Klimaaktiv		eco2soft	0	135,0	200	135,0	204,0	132,0	135,0	200	204,00	204,00	204,00	135,0				135	135	135	135	135
🏗️	Außenwand (exkl. Fenster) GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,8	0,0	0,0	0		0,80	0,80	0,0				0	0	0	0	0
🏗️	Fenster GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,2	0,0	0,0	0		0,23	0,23	0,0				0	0	0	0	0
🏗️	Dach GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	1,1	0,0	0,0	0		1,06	1,06	0,0				0	0	0	0	0
