icon;domain;measure;spatial_scope;temporal_scope;var_name;ka;label_de;unit
;;Metadaten;;;project_name;;Projektname;
;;Metadaten;;;location_address;;Adresse;
;;Metadaten;;;project_creation_date;;Erstellungsdatum;
;;Metadaten;;;project_scenario_name;;Variante / Scenario;
;;Quartier;;;FSI;;GFZ;
;;Quartier;;;renovation_share;;Sanierungsanteil;
;;Quartier;;;rh_avg;;Raumhöhe;m Netto
;;Quartier;;;lc;;Charakteristische Länge (lc);m
;weather;Wetter;;;weather_name;;Wetterdatensatz Name;
;weather;Wetter;;;weather_index;;Wetterdatensatz Nummer;
;weather;Wetter;;;Ta_annual_avg;;Außentemperatur Jahresmittel;°C
;weather;Wetter;;;Ta_avg_heating_period;;Mittelaußentemperatur Heizperiode;°C
;weather;Wetter;;;Ta_avg_cooling_period;;Mittelaußentemperatur Kühlperiode;°C
🔌;energy_end_use;Nutzenergiebedarfe;🔌;Quartier;UED_plugloads;;Nutzerstrom;kWh/m²NGFa
💡;energy_end_use;Nutzenergiebedarfe;💡;Quartier;UED_lighting;;Beleuchtung;kWh/m²NGFa
🌃;energy_end_use;Nutzenergiebedarfe;🌃;Quartier;UED_auxiliary;;Allgemeinstrom;kWh/m²NGFa
🔥;energy_end_use;Nutzenergiebedarfe;🔥;Quartier;UED_heating;;Heiwärmebedarf;kWh/m²NGFa
❄;energy_end_use;Nutzenergiebedarfe;❄;Quartier;UED_cooling;;Külenergiebedarf;kWh/m²NGFa
💧;energy_end_use;Nutzenergiebedarfe;💧;Quartier;UED_dhw;;WWWB;kWh/m²NGFa
💨;energy_end_use;Nutzenergiebedarfe;💨;Quartier;UED_ventilation;;Lüftungsenergiebedarf;kWh/m²NGFa
🚗;energy_end_use;Nutzenergiebedarfe;🚗;Quartier;UED_mim_electric;;E-Mobilität;kWh/m²NGFa
🚗;energy_end_use;Nutzenergiebedarfe;🚗;Quartier;UED_mim_fossile;;Fossile Mobilität;kWh/m²NGFa
🧱;heat_balance;Wärmebilanz;Verluste;Quartier;QT;;Transmissionswärmeverl.;kWh/m²NGFa
💨;heat_balance;Wärmebilanz;Verluste;Quartier;QV;;Lüftungswärmeverluste;kWh/m²NGFa
🌒;heat_balance;Wärmebilanz;Verluste;Quartier;QVn;;Nachtlüftung;kWh/m²NGFa
🌞;heat_balance;Wärmebilanz;Gewinne;Quartier;QS;;Solare Gewinne;kWh/m²NGFa
👤;heat_balance;Wärmebilanz;Gewinne;Quartier;QI;;Innere Wärmen;kWh/m²NGFa
♨;heat_balance;Wärmebilanz;Gewinne;Quartier;QH;;Heizwärmebedarf;kWh/m²NGFa
❄;heat_balance;Wärmebilanz;Verluste;Quartier;QC;;Kühlbedarf (KB);kWh/m²NGFa
;heat_balance;Wärmebilanz;Gewinne;Quartier;QV_heatrecovery;;ML Wärmerückgewinnung;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QT_winter;;Transmissionswärmeverl.;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QV_winter;;Lüftungswärmeverluste;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QVn_winter;;Nachtlüftung;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QS_winter;;Solare Gewinne;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QI_winter;;Innere Wärmen;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QH_winter;;Heizwärmebedarf;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QC_winter;;Kühlbedarf (KB);kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QT_wall_winter;;Transmission AW;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QT_roof_winter;;Transmission Dach;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QT_ground_winter;;Transmission KD/EFB;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QT_window_winter;;Transmission Fenster;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QT_psi_winter;;Transmission Wärmebrücken;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QV_inf_winter;;Infiltration;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QV_window_winter;;Lüftung Fenster;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QV_mechvent_winter;;Mechanische Lüftung;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QV_heatrecovery_winter;;ML Wärmerückgewinnung;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QH_min_winter;;Heizwärmebedarf Statisch;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Heizperiode;QH_flex_winter;;Heizwärmebedarf Flexibel;kWh/m²NGFa
