Icon;Name;Einheit;Kommentar;Type;var_name;ka;Default;Gründerzeit | Ausgangslage Gas;Gründerzeit | thermisch Saniert + Fernwärme;Gründerzeit | thermisch Saniert mit flexibler Wärmepumpe;Volksschule Neubau | Ökologisch;Wohnen Neubau 2.5 Geschosse | PEQ Deklaration;mg. Wohnbau 90er Sanierung | klimaneutrales PEQ Deklaration FW;Mischnutzung Neubau 7-stöckig | PEQ+M Deklaration;Südtiroler Quartier | Planung;Südtiroler Quartier | Ohne Tiefgarage;Südtiroler Quartier | PH;Südtiroler Quartier | PV x2;Südtiroler Quartier | Flexible HKLS mit WP;Südtiroler Quartier | Mob. Opt.;Südtiroler Quartier | Alle Maßnahmen;Südtiroler Quartier | Alle 150%PV;Südtiroler Quartier | Planung v2;Südtiroler Quartier | STB Zwischendecken;Südtiroler Quartier | test
🏙️;Wohnbau NGF (m²);m²NGF;;Abgelöst in Klimaaktiv;;0;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96;14028.96
🏙️;Büro NGF (m²);m²NGF;;Abgelöst in Klimaaktiv;;0;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001;10082.640000000001
🏙️;Schule NGF (m²);m²NGF;;Abgelöst in Klimaaktiv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
🏙️;Kiga NGF (m²);m²NGF;;Abgelöst in Klimaaktiv;;0;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32;618.32
🏙️;Handel NGF (m²);m²NGF;;Abgelöst in Klimaaktiv;;0;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88;2074.88
🏙️;Summe NGF (m²);m²NGF;;Abgelöst in Klimaaktiv;;0;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8;26804.8
🏙️;Anteil NonFood an Handel;;;Abgelöst in Klimaaktiv;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
🏙️;Bauteilfläche Hülle Außenwand (exkl. Fenster) (m²);;;Abgelöst in Klimaaktiv;;0;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998;6081.979999999998
🏙️;Bauteilfläche Hülle Fenster (m²);;;Abgelöst in Klimaaktiv;;0;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61;4163.61
🏙️;Bauteilfläche Hülle Dach (m²);;;Abgelöst in Klimaaktiv;;0;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001;6813.490000000001
🏙️;Bauteilfläche Hülle Decke gegen Erdreich / Keller (m²);;;Abgelöst in Klimaaktiv;;0;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003;3660.1400000000003
🏗️;Gewählte Variante;;;Obsolet;;0;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob;Massgrob
🏗️;U-Wert Außenwand (exkl. Fenster) (W/m²K);;;Abgelöst in Klimaaktiv;;0;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167
🏗️;U-Wert Fenster (W/m²K);;;Abgelöst in Klimaaktiv;;0;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328;0.7556950098592328
🏗️;U-Wert Dach (W/m²K);;;Abgelöst in Klimaaktiv;;0;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752;0.10882642522407752
