Roof tilt: 15° (Vienna);Azi80Tilt27Wp460;Gesamtquartier;Azi-100Tilt15Wp460;BICHL_100 kWp 90%;V1oPBlend_ges;Var_Planstand_Pilzgasse
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.004333333333333333;0.004;11.016073069405206;0.004;1.0368;1.24;11.429
0.011666666666666667;0.011;31.065564855129942;0.012;5.3667;3.44;5.144
0.019333333333333334;0.017;47.589674459237756;0.018;19.8648;5.29;29.298
0.024999999999999998;0.022;61.35976579599425;0.023;34.117200000000004;6.72;76.038
0.023333333333333334;0.025;69.62182059804816;0.026;41.034600000000005;7.73;66.837
0.018666666666666668;0.02;55.176785836309236;0.02;39.690000000000005;5.99;148.879
0.011000000000000001;0.011;31.065564855129942;0.012;29.697300000000002;3.43;47.311
0.0029999999999999996;0.004;11.016073069405206;0.004;14.514299999999999;1.13;13.596
0;0;0;0;0.5859000000000001;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.018333333333333333;0.011;46.81831054497212;0.018;1.5849;6.3;14.45
0.047999999999999994;0.021;60.49198139244541;0.023;8.3403;6.84;46.572
0.08033333333333333;0.048;166.37413329655308;0.059;13.1049;21.67;79.908
0.081;0.074;231.590847339072;0.075;14.5413;31.97;91.522
0.06033333333333333;0.029;81.8491841062734;0.03;12.501000000000001;9.09;94.118
0.045000000000000005;0.099;233.4350339562093;0.054;11.3643;35.06;46.214
0.02666666666666667;0.07;150.56727171448583;0.031;7.8714;22.41;19.548
0.007333333333333333;0.054;90.59956869031805;0.008;3.2292;15.97;1.666
0;0;0;0;0.3042;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.13466666666666668;0.002;5.508036534702603;0.002;1.9368;0.53;14.011
0.20166666666666666;0.025;87.80921581109038;0.033;13.203899999999999;10.99;41.113
0.24;0.08;368.9786192980605;0.123;32.175000000000004;55.88;89.067
0.265;0.076;240.63633470095152;0.078;40.8123;33.28;83.463
0.25966666666666666;0.11;301.5624013079661;0.081;42.8931;44.28;89.285
0.22566666666666668;0.157;347.90496541729334;0.058;39.0402;57.27;83.782
0.18666666666666668;0.137;255.08175548827992;0.025;29.2608;44.27;71.407
0.118;0.068;112.52932435466352;0.009;14.442300000000001;19.94;50.021
0;0;0;0;0.6444;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.038;0.015;97.94543583138676;0.039;1.7082;14.07;4.834
0.022333333333333334;0.032;135.2844311503032;0.05;8.1774;18.26;15.648
0.07766666666666668;0.055;202.88752013378235;0.071;11.177100000000001;27.66;26.169
0.15866666666666665;0.069;209.7454435184498;0.071;9.8559;27.24;29.44
0.142;0.066;183.06097660292565;0.06;6.3441;23.45;30.379
0.27499999999999997;0.102;241.69708875826322;0.057;7.4556000000000004;35.91;23.85
0.10466666666666667;0.056;122.30387103375053;0.028;6.5286;17.77;15.199
0.038;0.001;2.7540182673513014;0.001;3.3696;0.43;4.834
0;0;0;0;0.30150000000000005;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0036666666666666666;0.004;11.016073069405206;0.004;0.8703;1.15;10.392
0.019666666666666666;0.011;31.065564855129942;0.012;5.2992;3.5;33.712
0.077;0.019;53.09771099394036;0.02;7.7301;5.87;28.56
0.09699999999999999;0.025;71.50805446185062;0.027;8.0568;7.85;43.258
0.13733333333333334;0.027;77.01609099655323;0.029;6.4215;8.53;48.522
0.07133333333333333;0.025;68.94687717306573;0.026;7.519500000000001;7.69;43.673
0.09633333333333333;0.015;42.08163792453515;0.016;6.583500000000001;4.66;29.418
0.02766666666666667;0.005;13.770091336756508;0.005;3.4299;1.58;9.904
0;0;0;0;0.2997;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.005999999999999999;0.001;2.7540182673513014;0.001;0.5066999999999999;0.44;13.969
0.018333333333333333;0.018;51.844244633258704;0.019;2.6361;5.79;5.711
0.028666666666666663;0.064;264.62102791654587;0.091;6.2532000000000005;38.42;47.275
0.03366666666666667;0.086;274.87780571724545;0.088;9.922500000000001;38.65;105.713
0.030333333333333334;0.162;442.4214395563464;0.107;12.4191;68.42;92.754
0.026333333333333334;0.209;461.6576488563369;0.073;11.4327;75.93;113.814
0.016;0.193;351.3883003522452;0.029;8.1324;61.53;84.27
0.005999999999999999;0.123;195.22241292375884;0.01;3.5028;35.31;38.948
0;0;0;0;0.2997;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.08033333333333333;0.003;8.262054802053903;0.003;0.8721;0.94;22.653
0.13033333333333333;0.009;24.78616440616171;0.009;5.4351;2.69;66.292
0.18733333333333335;0.008;22.03214613881041;0.008;9.614700000000001;2.36;118.862
0.20833333333333334;0.015;43.19650787407198;0.016;12.385800000000001;4.78;114.457
0.20299999999999999;0.015;41.31027401026952;0.015;12.838500000000002;4.54;36.947
