Horizontalstrahlung;Oststrahlung;Südstrahlung;Weststrahlung;Nordstrahlung;Außentemperatur;Rel. Feuchte
0;0;0;0;0;2.3;87.4
0;0;0;0;0;2.1;82.5
0;0;0;0;0;1.8;81.6
0;0;0;0;0;1.6;81.5
0;0;0;0;0;1.4;80.9
0;0;0;0;0;1.3;82.6
0;0;0;0;0;1.2;81.7
0;0;0;0;0;1.1;80.7
18;8;8;10;10;1.8;80.2
82;89;106;38;38;3;77.1
132;107;168;58;58;4;70
226;144;453;79;79;5.4;66.1
176;74;264;89;74;5.8;65.8
62;32;31;32;32;5.2;67.7
74;38;49;45;38;4.8;70.5
39;20;43;43;20;4.2;75.3
0;0;0;0;0;3.5;79.8
0;0;0;0;0;3.4;81.2
0;0;0;0;0;3.3;81
0;0;0;0;0;3.2;82.2
0;0;0;0;0;3.1;82.6
0;0;0;0;0;3;81.3
0;0;0;0;0;2.9;77
0;0;0;0;0;2.8;79.4
0;0;0;0;0;2.7;79.5
0;0;0;0;0;2.4;87.4
0;0;0;0;0;2.5;87.4
0;0;0;0;0;2.5;90.4
0;0;0;0;0;2.4;90.4
0;0;0;0;0;2.4;90.4
0;0;0;0;0;2.3;90.6
0;0;0;0;0;2.3;90.4
5;0;0;2;2;2.5;90.3
40;20;19;21;21;3.3;87.3
74;40;43;38;38;4;87.2
78;41;43;40;40;4.5;87.2
80;41;44;42;41;4.8;78.7
62;33;32;32;33;4.8;78.4
44;23;21;21;23;4.7;81.8
17;9;5;5;9;4.3;84.2
1;0;0;0;0;3.9;86.1
0;0;0;0;0;3.8;89.7
0;0;0;0;0;3.6;85.6
0;0;0;0;0;3.4;90.4
0;0;0;0;0;3.4;97.4
0;0;0;0;0;3.2;98.8
0;0;0;0;0;3;96.5
0;0;0;0;0;2.4;98.8
0;0;0;0;0;2.7;98.8
0;0;0;0;0;2.6;98.8
0;0;0;0;0;2.4;98.8
0;0;0;0;0;2.2;97.9
0;0;0;0;0;2.2;98.8
0;0;0;0;0;2.2;98.8
0;0;0;0;0;2.1;98.8
0;0;0;0;0;2.1;98.8
6;0;0;3;3;2.3;98.8
12;4;3;7;7;2.5;97.9
57;30;29;30;30;3.3;97.3
99;52;61;50;50;4.2;94.6
147;69;151;75;69;5.2;92.1
144;63;175;102;63;5.8;92.1
150;51;412;280;51;6.3;87.1
72;29;265;264;29;6.2;84.6
1;1;0;0;1;5.5;87.4
0;0;0;0;0;5.3;89.4
0;0;0;0;0;5.2;92.3
0;0;0;0;0;5.1;91.5
0;0;0;0;0;5;93.6
0;0;0;0;0;4.9;95.3
0;0;0;0;0;4.7;96.3
0;0;0;0;0;4.6;97
0;0;0;0;0;4.5;95.3
0;0;0;0;0;4.3;95.2
0;0;0;0;0;4.2;93.1
0;0;0;0;0;4.1;93.6
0;0;0;0;0;4.1;95.8
0;0;0;0;0;4;94.3
0;0;0;0;0;3.9;95.2
0;0;0;0;0;3.9;95.8
5;0;0;3;3;4.1;95
35;16;15;19;19;4.8;95.3
61;32;31;32;32;5.4;93.7
83;44;47;43;43;5.9;91.7
101;52;62;52;52;6.4;91.1
96;49;60;53;49;6.7;91.9
63;32;37;35;32;6.7;90.1
