var_name;ka;Type;Name;Einheit;Kommentar;Icon;Formel
project_name;2;userinput;Projektname;;;📝;🏙️!$D$5
project_url;2;userinput;ProjektURL;;;📝;🏙️!D6
location_address;2;userinput;Adresse;;;📝;🏙️!$D$12
municipality_name;2;userinput;Gemeinde;;;📝;🏙️!D14
project_creation_date;2;userinput;Erstellungsdatum;;;📝;🏙️!$D$7
project_description;2;userinput;Projektbeschreibung;;;📝;🏙️!D8
project_scenario_name;2;userinput;Variante / Scenario;;;📝;🏙️!D9
location_postcode;2;userinput;Postleitzahl;;;📝;🏙️!$D$15
mobility_mode;1;value;Mobilitätsverfahren;;;📝;
scenario_version;2;userinput;Tool Version;;;📝;🏙️!F7
weather_name;2;userinput;Wetterdatensatz Name;;;🌦️;🏙️!$D$19
weather_index;0;calculation;Wetterdatensatz Nummer;;;🌦️;"VERGLEICH(K219;list_weathers;0)"
GFA_residential;2;userinput;BGF Wohnen;m²BGF;;🏙️;🏙️!D28
GFA_office;2;userinput;BGF Büro;m²BGF;;🏙️;🏙️!D29
GFA_schoolsec;2;userinput;BGF Bildung sekundär;m²BGF;;🏙️;🏙️!D30
GFA_schoolprim;2;userinput;BGF Bildung primär;m²BGF;;🏙️;🏙️!D31
GFA_retailfood;2;userinput;BGF Lebensmittelhandel;m²BGF;;🏙️;🏙️!D32
GFA_retailother;2;userinput;BGF Handel sonstiger;m²BGF;;🏙️;🏙️!D33
GFA_other;2;userinput;BGF Sonstige;m²BGF;;🏙️;🏙️!D34
GFA_total;0;calculation;BGF Quartier;m²BGF;;🏙️;SUMME(K227:K233)
NFA_to_GFA_ratio_residential;2;userinput;NGF/BGF Wohnen;Faktor;;🏙️;🏙️!F42
NFA_to_GFA_ratio_office;2;userinput;NGF/BGF  Büro;Faktor;;🏙️;🏙️!F43
NFA_to_GFA_ratio_schoolsec;2;userinput;NGF/BGF Bildung sekundär;Faktor;;🏙️;🏙️!F44
NFA_to_GFA_ratio_schoolprim;2;userinput;NGF/BGF Bildung primär;Faktor;;🏙️;🏙️!F45
NFA_to_GFA_ratio_retailfood;2;userinput;NGF/BGF Lebensmittelhandel;Faktor;;🏙️;🏙️!F46
NFA_to_GFA_ratio_retailother;2;userinput;NGF/BGF Handel sonstiger;Faktor;;🏙️;🏙️!F47
NFA_to_GFA_ratio_other;2;userinput;NGF/BGF Sonstige;Faktor;;🏙️;🏙️!F48
NFA_to_GFA_ratio;0;calculation;NGF/BGF Quartier;Faktor;;🏙️;NFA_total/GFA_total
NFA_residential;0;calculation;NGF Wohnen;m²NGF;;🏙️;K227*K235
NFA_office;0;calculation;NGF Büro;m²NGF;;🏙️;K228*K236
NFA_schoolsec;0;calculation;NGF Bildung sekundär;m²NGF;;🏙️;K229*K237
NFA_schoolprim;0;calculation;NGF Bildung primär;m²NGF;;🏙️;K230*K238
NFA_retailfood;0;calculation;NGF Handel Lebensmittel;m²NGF;;🏙️;K231*K239
NFA_retailother;0;calculation;NGF Handel sonstiger;m²NGF;;🏙️;K232*K240
NFA_other;0;calculation;NGF Sonstige;m²NGF;;🏙️;K233*K241
NFA_total;0;calculation;NGF Quartier;m²NGF;;🏙️;SUMME(K243:K249)
per_NFA;0;calculation;Pro NGF ( Kehrwert NGF);1/m²NGF;;🏙️;1/NFA_total
plot_area;2;userinput;Bebaubare Grundstücksfläche;m²GF;;🏙️;🏙️!D55
FSI;0;calculation;Geschoßflächenzahl;GFZ;;🏙️;GFA_total/K252
renovation_ratio_residential;2;userinput;Sanierung Anteil Wohnen;;;🏙️;🏙️!D61
renovation_ratio_office;2;userinput;Sanierung Anteil Büro;;;🏙️;🏙️!D62
renovation_ratio_schoolsec;2;userinput;Sanierung Anteil Bildung sekundär;;;🏙️;🏙️!D63
renovation_ratio_schoolprim;2;userinput;Sanierung Anteil Bildung primär;;;🏙️;🏙️!D64
renovation_ratio_retailfood;2;userinput;Sanierung Anteil Lebensmittelhandel;;;🏙️;🏙️!D65
renovation_ratio_retailother;2;userinput;Sanierung Anteil Handel Sonstiger;;;🏙️;🏙️!D66
renovation_ratio_other;2;userinput;Sanierung Anteil Sonstige;;;🏙️;🏙️!D67
renovation_share;0;calculation;Sanierungsanteil im Quartier;;;🏙️;"SUMMENPRODUKT(Renovation_shares;NFA_shares)"
building_count;1;value;Anzahl Baukörper;;;🏙️;
storey_count_avg;1;value;Anzahl Geschoße;;;🏙️;
rh_residential;2;userinput;Raumhöhe Wohnen;m Netto;;↕️;🏙️!D42
rh_office;2;userinput;Raumhöhe Büro;m Netto;;↕️;🏙️!D43
rh_schoolsec;2;userinput;Raumhöhe sekundäre Bildungseinrichtung/ Universität;m Netto;;↕️;🏙️!D44
rh_schoolprim;2;userinput;Raumhöhe primäre Bildundseinrichtung/ Kindergarten;m Netto;;↕️;🏙️!D45
rh_retailfood;2;userinput;Raumhöhe Lebensmittelhandel;m Netto;;↕️;🏙️!D46
rh_retailother;2;userinput;Raumhöhe Handel sonstiger;m Netto;;↕️;🏙️!D47
rh_other;2;userinput;Raumhöhe Sonstige Nutzung;m Netto;;↕️;🏙️!D48
rh_avg;0;calculation;Raumhöhe Quartier;m Netto;;↕️;"SUMMENPRODUKT(K269:K275;K243:K249)/NFA_total"
NFV_total;0;calculation;Raumvolumen Quartier;m³netto;;↕️;NFA_total*rh_avg
NFV_u;0;calculation;Raumvolumen ungekühlt;m³netto;;↕️;"SUMMENPRODUKT(K243:K249;K269:K275;cool_passive_shares)"
NFV_c;0;calculation;Raumvolumen gekühlt;m³netto;;↕️;"SUMMENPRODUKT(K243:K249;K269:K275;cool_active_shares)"
rh_ceiling;1;value;Höhe Geschoßdecken;m;;↕️;
GFV;0;calculation;Raumvolumen Quartier brutto;m³brutto;;↕️;NFA_total*(rh_avg+K280)
hull_ext_wall_wo_window_m2;2;userinput;Hüllfläche Außenwand;m² Brutto;exkl. Fenster;🧊;🧱!D11
hull_roof_m2;2;userinput;Hüllfläche Dach;m² Brutto;;🧊;🧱!D12
hull_fundament_m2;2;userinput;Hüllfläche Kellerdecke / Fundament;m² Brutto;;🧊;🧱!D13
hull_windows_north_m2;2;userinput;Hüllfläche Fenster Nord;m² Brutto;inkl. Rahmen;🧊;🧱!D18
hull_windows_east_m2;2;userinput;Hüllfläche Fenster Ost;m² Brutto;inkl. Rahmen;🧊;🧱!D19
hull_windows_south_m2;2;userinput;Hüllfläche Fenster Süd;m² Brutto;inkl. Rahmen;🧊;🧱!D20
hull_windows_west_m2;2;userinput;Hüllfläche Fenster West;m² Brutto;inkl. Rahmen;🧊;🧱!D21
hull_windows_horizontal_m2;2;userinput;Hüllfläche Fenster Horizontal;m² Brutto;inkl. Rahmen;🧊;🧱!D22
hull_window_m2;0;calculation;Hüllfläche Fenster gesamt;m² Brutto;;🧊;SUMME(K288:K291)
hull_fenestration_rate;0;calculation;Hüllfläche Fensterflächenanteil;;;🧊;K293/(K293+K285)
hull_m2;0;calculation;Hüllfläche gesamt;m² Brutto;;🧊;hull_ext_wall_wo_window_m2+hull_roof_m2+hull_fundament_m2+hull_window_m2
lc;0;calculation;lc;;;🧊;K281/(hull_ext_wall_wo_window_m2+hull_roof_m2+hull_fundament_m2+hull_window_m2)
hull_transmittance_walls;2;userinput;U-Wert Außenwände;W/m²K;;🧱;🧱!F11
hull_transmittance_roof;2;userinput;U-Wert Dach;W/m²K;;🧱;🧱!F12
hull_transmittance_fundament;2;userinput;U-Wert Kellerdecke / Fundament;W/m²K;;🧱;🧱!F13
hull_transmittance_windows_north;2;userinput;U-Wert Fenster Nord;W/m²K;inkl. Rahmen;🧱;🧱!F28
hull_transmittance_windows_east;2;userinput;U-Wert Fenster Ost;W/m²K;inkl. Rahmen;🧱;🧱!F29
hull_transmittance_windows_south;2;userinput;U-Wert Fenster Süd;W/m²K;inkl. Rahmen;🧱;🧱!F30
hull_transmittance_windows_west;2;userinput;U-Wert Fenster West;W/m²K;inkl. Rahmen;🧱;🧱!F31
hull_transmittance_windows_horizontal;2;userinput;U-Wert Fenster Horizontal;W/m²K;inkl. Rahmen;🧱;🧱!F32
hull_transmittance_heatbridge;2;userinput;Wärmebrückenzuschlag;;Anteil des Transmissionsleitwerts;🧱;🧱!D36
