var_name;Kategorie;Name;Bereich;Einheit;Label;Kommentar;Formel
UED_plugloads;Nutzenergiebedarfe;Nutzerstrom;Quartier;kWh/m²NGFa;;;EUI_plugAuxLight-UED_lighting-UED_auxiliary
UED_lighting;Nutzenergiebedarfe;Beleuchtung;Quartier;kWh/m²NGFa;;;SUMME(sim[Elight])/1000
UED_auxiliary;Nutzenergiebedarfe;Allgemeinstrom;Quartier;kWh/m²NGFa;;;SUMME(sim[Eaux])/1000
UED_heating;Nutzenergiebedarfe;Heiwärmebedarf;Quartier;kWh/m²NGFa;;;QH
UED_cooling;Nutzenergiebedarfe;Külenergiebedarf;Quartier;kWh/m²NGFa;;;QC
UED_dhw;Nutzenergiebedarfe;WWWB;Quartier;kWh/m²NGFa;;;SUMME(sim[[DHW_residential_kW]:[DHW_other_kW]])*per_NFA
UED_ventilation;Nutzenergiebedarfe;Lüftungsenergiebedarf;Quartier;kWh/m²NGFa;;;EUIv_el
UED_mim_electric;Nutzenergiebedarfe;E-Mobilität;Quartier;kWh/m²NGFa;;;UED_mob_el_total
UED_mim_fossile;Nutzenergiebedarfe;Fossile Mobilität;Quartier;kWh/m²NGFa;;;EUI_mob_fossile
QT;Wärmebilanz;Transmissionswärmeverl.;Quartier;kWh/m²NGFa;🧱 Transmissionswärmeverl.;;"SUMME(sim[QT_u] * NFAfrac_u; sim[QT_c] * NFAfrac_c) * -0,001"
QV;Wärmebilanz;Lüftungswärmeverluste;Quartier;kWh/m²NGFa;💨 Lüftungswärmeverluste;;QV_u * NFAfrac_u + QV_c * NFAfrac_c
QVn;Wärmebilanz;Nachtlüftung;Quartier;kWh/m²NGFa;🌒 Nachtlüftung;;NFAfrac_u * QVn_u
QS;Wärmebilanz;Solare Gewinne;Quartier;kWh/m²NGFa;🌞 Solare Gewinne;;QS_u  *NFAfrac_u + QS_c * NFAfrac_c
QI;Wärmebilanz;Innere Wärmen;Quartier;kWh/m²NGFa;👤 Innere Wärmen;;QI_u * NFAfrac_u + QI_c * NFAfrac_c
QH;Wärmebilanz;Heizwärmebedarf;Quartier;kWh/m²NGFa;♨️ Heizwärmebedarf;;QH_u * NFAfrac_u + QH_c * NFAfrac_c
QC;Wärmebilanz;Kühlbedarf (KB);Quartier;kWh/m²NGFa;❄️ Kühlbedarf (KB);;QC_c * NFAfrac_c
QV_heatrecovery;Wärmebilanz;ML Wärmerückgewinnung;Quartier;kWh/m²NGFa;;;QV_heatrecovery_u * NFAfrac_u + QV_heatrecovery_c * NFAfrac_c
QT_winter;Wärmebilanz;Transmissionswärmeverl.;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[QT_u])*NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[QT_c])*NFAfrac_c  ) * -0,001"
