icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit
;;;;;;;project_name;;Projektname;
;;;;;;;location_address;;Adresse;
;;;;;;;project_creation_date;;Erstellungsdatum;
;;;;;;;project_scenario_name;;Variante / Scenario;
;;;;;;;FSI;;GFZ;
;;;;;;;renovation_share;;Sanierungsanteil;
;;;;;;;rh_avg;;Raumhöhe;m Netto
;;;;;;;lc;;Charakteristische Länge (lc);m
;;;;;;;weather_name;;Wetterdatensatz Name;
;;;;;;;weather_index;;Wetterdatensatz Nummer;
;weather;Wetter;;;;;Ta_annual_avg;3;Außentemperatur Jahresmittel;°C
;weather;temperature;;;;;Ta_avg_heating_period;3;Mittelaußentemperatur Heizperiode;°C
;weather;temperature;;;;;Ta_avg_cooling_period;3;Mittelaußentemperatur Kühlperiode;°C
🔌;useful_energy;plugloads;district;annual;;;UED_plugloads;3;Nutzerstrom;kWh/m²NGFa
💡;useful_energy;lighting;district;annual;;;UED_lighting;3;Beleuchtung;kWh/m²NGFa
🌃;useful_energy;aux_el_demand;district;annual;;;UED_auxiliary;3;Allgemeinstrom;kWh/m²NGFa
🔥;useful_energy;heating_demand;district;annual;;;UED_heating;3;Heiwärmebedarf;kWh/m²NGFa
❄;useful_energy;cooling_demand;district;annual;;;UED_cooling;3;Külenergiebedarf;kWh/m²NGFa
💧;useful_energy;dhw_demand;district;annual;;;UED_dhw;3;WWWB;kWh/m²NGFa
💨;useful_energy;vent_el_demand;district;annual;;;UED_ventilation;3;Lüftungsenergiebedarf;kWh/m²NGFa
🚗;useful_energy;;district;annual;;;UED_mim_electric;3;E-Mobilität;kWh/m²NGFa
🚗;useful_energy;;district;annual;;;UED_mim_fossile;3;Fossile Mobilität;kWh/m²NGFa
🧱;heat_balance;heat_loss;district;annual;;;QT;3;Transmissionswärmeverl.;kWh/m²NGFa
💨;heat_balance;heat_loss;district;annual;;;QV;3;Lüftungswärmeverluste;kWh/m²NGFa
🌒;heat_balance;heat_loss;district;annual;;;QVn;3;Nachtlüftung;kWh/m²NGFa
🌞;heat_balance;heat_gain;district;annual;;;QS;3;Solare Gewinne;kWh/m²NGFa
👤;heat_balance;heat_gain;district;annual;;;QI;3;Innere Wärmen;kWh/m²NGFa
♨;heat_balance;heating_demand;district;annual;;;QH;3;Heizwärmebedarf;kWh/m²NGFa
