var_name;Domain;Measure;Unit;Formula
h;;;;1
Monat_nr;📅 Datum und Zeit;📅 Datum und Zeit;int;1
Monat;📅 Datum und Zeit;📅 Datum und Zeit;monat;Januar
date;📅 Datum und Zeit;📅 Datum und Zeit;date;43101
hour_of_the_day;📅 Datum und Zeit;📅 Datum und Zeit;hotd;0
day_of_the_year;📅 Datum und Zeit;📅 Datum und Zeit;doty;1
Ti0uncooled;;21;°C;=IF(1-NFA_cooled/NFA_total>0,Tsetheat_min,#N/A)
Ti0cooled;;21;°C;=IF(NFA_cooled/NFA_total>0,Tsetheat_min,#N/A)
Ta;🌦️ Wetter;Temperatur;°C;=OFFSET(Wetter!M25,0,(weather_index-1)*7)
rel_humidity;🌦️ Wetter;Luftfeuchte;%;=OFFSET(Wetter!N25,0,(weather_index-1)*7)
Irr_nord;🌦️ Wetter;Strahlung;W/m²Nord;=OFFSET(Wetter!H25,0,(weather_index-1)*7+4)
Irr_east;🌦️ Wetter;Strahlung;W/m²Ost;=OFFSET(Wetter!I25,0,(weather_index-1)*7)
Irr_south;🌦️ Wetter;Strahlung;W/m²Süd;=OFFSET(Wetter!J25,0,(weather_index-1)*7)
Irr_west;🌦️ Wetter;Strahlung;W/m²West;=OFFSET(Wetter!K25,0,(weather_index-1)*7)
Irr_horizontal;🌦️ Wetter;Strahlung;W/m²Hori;=OFFSET(Wetter!L25,0,(weather_index-1)*7-4)
is_heating_period;🔀 Regelung;🔀 Regelung;bool;=--INDEX(heating_months, [@[Monat_nr]])
is_cooling_period;🔀 Regelung;🔀 Regelung;bool;=--INDEX(cooling_months, [@[Monat_nr]])
season_step;🔀 Regelung;🔀 Regelung;%;=0.5*([@[is_heating_period]]+NOT([@[is_cooling_period]]))
Übergangszeit;🔀 Regelung;🔀 Regelung;bool;=IF([@[season_step]]=0.5,1,0)
season_wave;🔀 Regelung;🔀 Regelung;%;=COS(([@h]+seasonal_phase_h)/8760*2*PI())/2+0.5
percent_winter;🔀 Regelung;🔀 Regelung;%;"=IF(seasonal_interpolation=""step"", [@[season_step]],[@[season_wave]])"
dT_uncooled;🔀 Regelung;🔀 Regelung;;=IFNA([@Ta]-[@Ti0uncooled],0)
dT_cooled;🔀 Regelung;🔀 Regelung;;=IFNA([@Ta]-[@Ti0cooled],0)
Spalte2;🔀 Regelung;🔀 Regelung;;
Spalte4;🔀 Regelung;🔀 Regelung;;
mobile_shading;🔀 Regelung;🔀 Regelung;%;=fc_residential
Qvinf_u;Passive Gewinne/Verluste;💨 Infiltration;Wh/m²uncooled;=[@[dT_uncooled]]*NFV_u*vent_infiltration_ACH*cp_air*per_NFA_uncooled
Qvinf_c;Passive Gewinne/Verluste;💨 Infiltration;Wh/m²cooled;=[@[dT_cooled]]*NFV_c*vent_infiltration_ACH*cp_air*per_NFA_cooled
ACH_residential;Passive Gewinne/Verluste;Air Change per Hour;m³/h;=NFA_residential*rh_residential*vent_scale_residential*Nutzung_Wohnen[@[Bedarf Luftwechsel]]
ACH_office;Passive Gewinne/Verluste;Air Change per Hour;m³/h;=NFA_office*rh_office*vent_scale_office*Nutzung_Büro[@[Bedarf Luftwechsel]]
ACH_edusec;Passive Gewinne/Verluste;Air Change per Hour;m³/h;=NFA_schoolsec*rh_schoolsec*vent_scale_school_sec*Nutzung_Schule[@[Bedarf Luftwechsel]]
ACH_eduprim;Passive Gewinne/Verluste;Air Change per Hour;m³/h;=NFA_schoolprim*rh_schoolprim*vent_scale_school_prim*Nutzung_KIGA[@[Bedarf Luftwechsel]]
ACH_retfood;Passive Gewinne/Verluste;Air Change per Hour;m³/h;=NFA_retailfood*rh_retailfood*vent_scale_supermarket*Nutzung_Handel_Food[@[Bedarf Luftwechsel]]
ACH_retail;Passive Gewinne/Verluste;Air Change per Hour;m³/h;=NFA_retailother*rh_retailother*vent_scale_retail*Nutzung_Handel_NonFood[@[Bedarf Luftwechsel]]
ACH_otherusage;Passive Gewinne/Verluste;Air Change per Hour;m³/h;0
