icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
;weather;Wetter;;;;;Ta_annual_avg;3;Außentemperatur Jahresmittel;°C;;MITTELWERT(sim[Ta])
;weather;temperature;;;;;Ta_avg_heating_period;3;Mittelaußentemperatur Heizperiode;°C;;"MITTELWERTWENN(is_heating_period;1;sim[Ta])"
;weather;temperature;;;;;Ta_avg_cooling_period;3;Mittelaußentemperatur Kühlperiode;°C;;"MITTELWERTWENN(is_cooling_period;1;sim[Ta])"
🔌;useful_energy;plugloads;district;annual;;;UED_plugloads;3;Nutzerstrom;kWh/m²NGFa;;EUI_plugAuxLight-UED_lighting-UED_auxiliary
💡;useful_energy;lighting;district;annual;;;UED_lighting;3;Beleuchtung;kWh/m²NGFa;;SUMME(sim[Elight])/1000
🌃;useful_energy;aux_el_demand;district;annual;;;UED_auxiliary;3;Allgemeinstrom;kWh/m²NGFa;;SUMME(sim[Eaux])/1000
🔥;useful_energy;heating_demand;district;annual;;;UED_heating;3;Heiwärmebedarf;kWh/m²NGFa;;QH
❄;useful_energy;cooling_demand;district;annual;;;UED_cooling;3;Külenergiebedarf;kWh/m²NGFa;;QC
💧;useful_energy;dhw_demand;district;annual;;;UED_dhw;3;WWWB;kWh/m²NGFa;;SUMME(sim[[DHW_residential_kW]:[DHW_other_kW]])*per_NFA
💨;useful_energy;vent_el_demand;district;annual;;;UED_ventilation;3;Lüftungsenergiebedarf;kWh/m²NGFa;;EUIv_el
🚗;useful_energy;;district;annual;;;UED_mim_electric;3;E-Mobilität;kWh/m²NGFa;;UED_mob_el_total
🚗;useful_energy;;district;annual;;;UED_mim_fossile;3;Fossile Mobilität;kWh/m²NGFa;;EUI_mob_fossile
🧱;heat_balance;heat_loss;district;annual;;;QT;3;Transmissionswärmeverl.;kWh/m²NGFa;;"SUMME(sim[QT_u] * NFAfrac_u; sim[QT_c] * NFAfrac_c) * -0,001"
💨;heat_balance;heat_loss;district;annual;;;QV;3;Lüftungswärmeverluste;kWh/m²NGFa;;QV_u * NFAfrac_u + QV_c * NFAfrac_c
🌒;heat_balance;heat_loss;district;annual;;;QVn;3;Nachtlüftung;kWh/m²NGFa;;NFAfrac_u * QVn_u
🌞;heat_balance;heat_gain;district;annual;;;QS;3;Solare Gewinne;kWh/m²NGFa;;QS_u * NFAfrac_u + QS_c * NFAfrac_c
👤;heat_balance;heat_gain;district;annual;;;QI;3;Innere Wärmen;kWh/m²NGFa;;QI_u * NFAfrac_u + QI_c * NFAfrac_c
♨;heat_balance;heating_demand;district;annual;;;QH;3;Heizwärmebedarf;kWh/m²NGFa;;QH_u * NFAfrac_u + QH_c * NFAfrac_c
❄;heat_balance;cooling_demand;district;annual;;;QC;3;Kühlbedarf (KB);kWh/m²NGFa;;QC_c * NFAfrac_c
;heat_balance;heat_recovery;district;annual;;;QV_heatrecovery;3;ML Wärmerückgewinnung;kWh/m²NGFa;;QV_heatrecovery_u * NFAfrac_u + QV_heatrecovery_c * NFAfrac_c
;heat_balance;heat_loss;district;winter;;;QT_winter;3;Transmissionswärmeverl.;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[QT_u])*NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[QT_c])*NFAfrac_c  ) * -0,001"
;heat_balance;heat_loss;district;winter;;;QV_winter;3;Lüftungswärmeverluste;kWh/m²NGFa;;QV_inf_winter + QV_window_winter + QV_mechvent_winter
;heat_balance;heat_loss;district;winter;;;QVn_winter;3;Nachtlüftung;kWh/m²NGFa;;"SUMMENPRODUKT(sim[is_heating_period]; sim[Qv_nightvent]) * NFAfrac_u * -0,001"
;heat_balance;heat_gain;district;winter;;;QS_winter;3;Solare Gewinne;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[QS_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[QS_c]) * NFAfrac_c) * 0,001"
;heat_balance;heat_gain;district;winter;;;QI_winter;3;Innere Wärmen;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[QI_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[QI_c]) * NFAfrac_c) * 0,001"
;heat_balance;heating_demand;district;winter;;;QH_winter;3;Heizwärmebedarf;kWh/m²NGFa;;QH_min_winter + QH_flex_winter
;heat_balance;cooling_demand;district;winter;;;QC_winter;3;Kühlbedarf (KB);kWh/m²NGFa;;QC_min_winter + QC_flex_winter
☑;heat_balance;test;district;winter;;;test_heat_balance_winter;4;Wärmebilanz Heizperiode;False;;(QT_winter+QV_winter+QVn_winter+QC_winter) - (QS_winter+QI_winter+QH_winter)
;heat_balance;heat_loss;district;winter;hull;wall;QT_wall_winter;3;Transmission AW;kWh/m²NGFa;;QT_winter * transmittance_walls_Wm2NFA / transmittance_Wm2
;heat_balance;heat_loss;district;winter;hull;roof;QT_roof_winter;3;Transmission Dach;kWh/m²NGFa;;QT_winter * transmittance_roof_Wm2NFA / transmittance_Wm2
