value;name;formula;sheet;address;refers_to_range;refers_to
#REF;cluster_c1_index;;;;;=#REF!#REF!;True
#Range;clusterhead;#Range;Varianten;$A$25:$OL$26;;('',);False
3.0;Ergebnis_1;=SQRT(9);Tabelle1;$A$4;;('',);False
#REF;Ergebnis_NEB_Heizwaermebedarf_Konventionell_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$9;True
#REF;Ergebnis_PE_SaldomitDichteausgleich_WPmitDSM_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!#REF!;True
#REF;Ergebnis_PE_SaldoohneDichteausgleich_WPmitDSM_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$F$91;True
#REF;Ergebnis_PEB_GFZ__;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$94;True
#REF;Ergebnis_PEB_Netzdienlichkeit__KWh_m2EBF;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]PV&Netzdienlichkeit'!$AA$3;True
#REF;Ergebnis_PEB_PESaldoZiel__kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$95;True
#REF;Ergebnis_PEB_PESaldoZielBGFReal__kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$98;True
#REF;Ergebnis_PEB_Primaerenergiebedarf_Erdgas_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$89;True
#REF;Ergebnis_PEB_Primaerenergiebedarf_Fernwaerme_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$D$89;True
#REF;Ergebnis_PEB_Primaerenergieexport_Erdgas_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$90;True
#REF;Ergebnis_PEB_Primaerenergieexport_Fernwaerme_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$D$90;True
#REF;Ergebnis_PEB_PrimaerenergiesaldomitDA_Erdgas_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!#REF!;True
#REF;Ergebnis_PEB_PrimaerenergiesaldomitDA_Fernwaerme_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!#REF!;True
#REF;Ergebnis_PEB_PrimaerenergiesaldomitDA_WPohneDSM_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!#REF!;True
#REF;Ergebnis_PEB_PrimaerenergiesaldoohneDA_Erdgas_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$C$91;True
#REF;Ergebnis_PEB_PrimaerenergiesaldoohneDA_WPohneDSM_kWh_m2NGFa;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$E$91;True
#REF;in_starting_values;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$GH$6:$GO$6;True
#REF;load_formattings;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!#REF!;True
#REF;load_skip_sheets;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!#REF!;True
#REF;out_starting_values;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$GH$7:$GO$7;True
#REF;p_1;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!$J$32;True
#REF;p_10;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!$J$44;True
#REF;p_100;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!$J$210;True
#REF;peexcel;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Namen'!#REF!;True
#REF;PHPP_Daten_Angrenzend_an;;;;;=Daten!$C$753:$C$756;True
#REF;PHPP_Daten_Ankreuzen;;;;;=Daten!$A$718:$A$719;True
#REF;PHPP_Daten_Ausrichtung_Bauteil;;;;;=Daten!$A$753:$A$756;True
#Range;PV_named_profiles;#Range;Tabelle1;$C$1:$C$13;;('',);False
#REF;Result_Nutzenergiebedarf___;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Ergebnisse'!$A$3:$F$18;True
#REF;save_formattings;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!#REF!;True
#REF;sim_cooling_Wel_m2NGF;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$BB$9;True
#REF;sim_direkt;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$A$3;True
#REF;sim_ecars?;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$EO$6;True
#REF;sim_ecars_anteil;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$CS$6;True
#REF;sim_ecars_kWh_pro_km;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$CT$6;True
#REF;sim_kühlen?;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$EL$6;True
#REF;sim_mobilität_in;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$DF$7:$DS$10;True
#REF;sim_NGF;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$G$6;True
#REF;sim_NGF_buero;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$C$6;True
#REF;sim_NGF_handel;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$F$6;True
#REF;sim_NGF_kiga;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$E$6;True
